,n,p,k,sigma,lambda,method,time,error,numiters
1256,500,250,25,1,0,AT,0.25017690658569336,0.02047029350614262,164
1257,500,250,25,1,0,LLM,0.3232302665710449,0.020518705881961856,171
1258,500,250,25,1,62.074013184854415,AT,0.24216890335083008,0.01493227573933459,150
1259,500,250,25,1,62.074013184854415,LLM,0.1491069793701172,0.013332175083872294,70
1260,500,250,25,1,0,AT,0.24017119407653809,0.020862907926957882,159
1261,500,250,25,1,0,LLM,0.31423425674438477,0.02088948671983245,162
1262,500,250,25,1,58.46934324599823,AT,0.22814726829528809,0.013633740895887094,150
1263,500,250,25,1,58.46934324599823,LLM,0.14210057258605957,0.012727593053227938,77
1264,500,250,25,1,0,AT,0.27318835258483887,0.01935550259697588,176
1265,500,250,25,1,0,LLM,0.34424495697021484,0.01935955156945451,177
1266,500,250,25,1,86.3789052721737,AT,0.24418425559997559,0.022640651057350046,163
1267,500,250,25,1,86.3789052721737,LLM,0.1270890235900879,0.022083223279776618,67
1268,500,250,25,1,0,AT,0.2441716194152832,0.01954471305270568,155
1269,500,250,25,1,0,LLM,0.2821986675262451,0.019538318174165882,155
1270,500,250,25,1,58.75742208455301,AT,0.2441723346710205,0.01624886429739238,155
1271,500,250,25,1,58.75742208455301,LLM,0.134108304977417,0.013450253738978974,71
1272,500,250,25,1,0,AT,0.27919745445251465,0.01886128894358202,177
1273,500,250,25,1,0,LLM,0.3212270736694336,0.018570995407236557,167
1274,500,250,25,1,55.97904111270987,AT,0.23917078971862793,0.013977941336000936,157
1275,500,250,25,1,55.97904111270987,LLM,0.13809657096862793,0.012093542506972733,74
1276,500,250,25,1,0,AT,0.2571678161621094,0.022555609262805313,167
1277,500,250,25,1,0,LLM,0.3212268352508545,0.02256260324848599,166
1278,500,250,25,1,67.2077300473896,AT,0.2541937828063965,0.020227894860088688,151
1279,500,250,25,1,67.2077300473896,LLM,0.14010095596313477,0.018693905305133703,73
1280,500,250,25,1,0,AT,0.258181095123291,0.01700170167467445,174
1281,500,250,25,1,0,LLM,0.32022762298583984,0.01701834458006898,178
1282,500,250,25,1,51.594263252881795,AT,0.23616600036621094,0.013251087215355345,156
1283,500,250,25,1,51.594263252881795,LLM,0.1441032886505127,0.011284835065992895,72
1284,500,250,25,1,0,AT,0.23818206787109375,0.019184711700124802,157
1285,500,250,25,1,0,LLM,0.304201602935791,0.01905272753720557,170
1286,500,250,25,1,91.05724804284117,AT,0.2461719512939453,0.020580203083155158,162
1287,500,250,25,1,91.05724804284117,LLM,0.14510226249694824,0.020578875848272924,70
1288,500,250,25,1,0,AT,0.2781965732574463,0.019293131624686658,176
1289,500,250,25,1,0,LLM,0.3362400531768799,0.019248605152476096,178
1290,500,250,25,1,87.63185497308181,AT,0.25217771530151367,0.021493170062976807,161
1291,500,250,25,1,87.63185497308181,LLM,0.12508726119995117,0.02117874564733272,67
1292,500,250,25,1,0,AT,0.2321629524230957,0.021950232210637823,161
1293,500,250,25,1,0,LLM,0.29120731353759766,0.021932644748345952,159
1294,500,250,25,1,64.93933033121847,AT,0.23916864395141602,0.017196212061674626,153
1295,500,250,25,1,64.93933033121847,LLM,0.13509488105773926,0.015003713524315345,69
1296,500,250,25,1,0,AT,0.28920578956604004,0.02060744299322489,181
1297,500,250,25,1,0,LLM,0.3322329521179199,0.020606812536776258,181
1298,500,250,25,1,63.40330983316966,AT,0.21615314483642578,0.015189048780252522,147
1299,500,250,25,1,63.40330983316966,LLM,0.14710402488708496,0.013661605860917879,72
1300,500,250,25,1,0,AT,0.30521702766418457,0.020515367163972155,183
1301,500,250,25,1,0,LLM,0.3322329521179199,0.0205110752350217,183
